jmeter_core,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.0909,0.0,0.0,0.0,0.0,0.1176,0.1176,0.1176,0.1176
0.02,0.0909,0.0,0.1,0.0,0.0,0.1053,0.1053,0.1053,0.1053
0.03,0.0909,0.0,0.05,0.1818,0.1818,0.2727,0.1818,0.2727,0.1818
0.04,0.0667,0.0,0.05,0.1667,0.1667,0.25,0.1667,0.25,0.25
0.05,0.2667,0.0,0.05,0.1481,0.1481,0.2222,0.1481,0.2222,0.2222
0.06,0.2667,0.0,0.05,0.2,0.2,0.2667,0.2,0.2,0.3333
0.07,0.2051,0.0,0.3,0.1875,0.1875,0.375,0.1875,0.25,0.3125
0.08,0.3077,0.0,0.3,0.1714,0.1714,0.3429,0.2286,0.2857,0.4
0.09,0.3077,0.0,0.3,0.2703,0.2703,0.3243,0.2162,0.2703,0.3784
0.1,0.2449,0.0,0.3,0.3,0.3,0.3,0.2,0.25,0.4
0.11,0.2449,0.0465,0.2034,0.2791,0.2791,0.2791,0.186,0.3256,0.3721
0.12,0.3673,0.0444,0.2034,0.2667,0.2667,0.2667,0.2222,0.3111,0.3556
0.13,0.3673,0.0417,0.2034,0.25,0.25,0.25,0.25,0.2917,0.3333
0.14,0.3,0.04,0.339,0.28,0.28,0.24,0.28,0.28,0.32
0.15,0.3,0.0755,0.339,0.2642,0.2642,0.3019,0.2642,0.2642,0.3019
