jhotdraw,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,iFit
0.01,0.2353,0.0,0.1176,0.4286,0.4286,0.5714,0.2857,0.2857,0.2857
0.02,0.3636,0.0,0.0444,0.6,0.6,0.6,0.4,0.3,0.4
0.03,0.4,0.0,0.0444,0.48,0.48,0.56,0.4,0.32,0.4
0.04,0.2439,0.0,0.0444,0.3871,0.3871,0.5161,0.4516,0.3871,0.3871
0.05,0.2927,0.0,0.2667,0.3333,0.3333,0.4444,0.3889,0.3889,0.3889
0.06,0.2353,0.0,0.2667,0.3333,0.3333,0.381,0.3333,0.3333,0.381
0.07,0.3137,0.0,0.2,0.2979,0.2979,0.3404,0.2979,0.2979,0.383
0.08,0.2667,0.0,0.2667,0.2642,0.2642,0.3019,0.2642,0.3019,0.3396
0.09,0.3,0.0,0.2667,0.2414,0.2414,0.3103,0.2414,0.2759,0.3103
0.1,0.2647,0.0,0.2105,0.2222,0.2222,0.2857,0.254,0.254,0.2857
0.11,0.2118,0.0,0.2368,0.2319,0.2319,0.2609,0.2319,0.2609,0.2609
0.12,0.2118,0.0,0.2368,0.2118,0.2118,0.2432,0.2162,0.2432,0.2432
0.13,0.2118,0.0,0.2,0.2118,0.2118,0.225,0.2,0.225,0.225
0.14,0.2118,0.0,0.2,0.2118,0.2118,0.2118,0.2118,0.2118,0.2118
0.15,0.1978,0.0,0.1565,0.1978,0.1978,0.1978,0.1978,0.1978,0.1978
