jhotdraw,h-index,a-index,k-core,PageRank,PageRank_BR,ICOOK,ElementRank,Pride,Pride-iFit
Top-Ranked%=0.01,0.2222,0.0,0.1111,0.3333,0.3333,0.1111,0.2222,0.2222,0.2222
Top-Ranked%=0.02,0.4444,0.0,0.1111,0.4444,0.4444,0.6667,0.4444,0.3333,0.4444
Top-Ranked%=0.03,0.5556,0.0,0.1111,0.5556,0.5556,0.7778,0.5556,0.5556,0.5556
Top-Ranked%=0.04,0.5556,0.0,0.6667,0.6667,0.6667,0.7778,0.6667,0.6667,0.6667
Top-Ranked%=0.05,0.6667,0.0,0.6667,0.6667,0.6667,0.8889,0.7778,0.7778,0.7778
Top-Ranked%=0.06,0.6667,0.0,0.6667,0.6667,0.6667,0.8889,0.7778,0.7778,0.8889
Top-Ranked%=0.07,0.8889,0.0,0.6667,0.6667,0.6667,0.8889,0.7778,0.7778,1.0
Top-Ranked%=0.08,0.8889,0.0,0.8889,0.6667,0.6667,0.8889,0.7778,0.8889,1.0
Top-Ranked%=0.09,1.0,0.0,0.8889,0.7778,0.7778,0.8889,0.7778,0.8889,1.0
Top-Ranked%=0.1,1.0,0.0,0.8889,0.8889,0.8889,0.8889,1.0,0.8889,1.0
Top-Ranked%=0.11,1.0,0.0,1.0,0.8889,0.8889,0.8889,1.0,1.0,1.0
Top-Ranked%=0.12,1.0,0.0,1.0,0.8889,0.8889,0.8889,1.0,1.0,1.0
Top-Ranked%=0.13,1.0,0.0,1.0,0.8889,0.8889,0.8889,1.0,1.0,1.0
Top-Ranked%=0.14,1.0,0.0,1.0,1.0,1.0,0.8889,1.0,1.0,1.0
Top-Ranked%=0.15,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
